frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
228,9.5,0,37,caex,caution,1284.5,571.4
228,9.5,0,38,caex,safe,668.0,502.5
229,9.5417,0,37,caex,caution,1320.9,556.8
229,9.5417,0,38,caex,safe,667.0,502.5
230,9.5833,0,37,caex,safe,1357.4,542.1
230,9.5833,0,38,caex,safe,657.5,511.0
231,9.625,0,37,caex,safe,1393.8,527.5
231,9.625,0,38,caex,safe,654.0,509.0
232,9.6667,0,37,caex,safe,1430.3,512.9
232,9.6667,0,38,caex,safe,650.0,503.5
233,9.7083,0,37,caex,safe,1466.7,498.3
233,9.7083,0,38,caex,safe,646.0,505.0
234,9.75,0,37,caex,safe,1503.2,483.6
234,9.75,0,38,caex,safe,644.1,503.5
235,9.7917,0,37,caex,safe,1539.7,469.0
235,9.7917,0,38,caex,safe,638.0,503.5
236,9.8333,0,38,caex,safe,635.9,503.5
237,9.875,0,38,caex,safe,634.0,503.0
238,9.9167,0,38,caex,safe,630.5,503.0
239,9.9583,0,38,caex,safe,616.0,508.0
